laptopId;battery;cpu;description;frameRate;image;manufacturer;model;os;price;ram;resolution;screenSize;stockAvailable;storage;vga;webcam;weight
3ecc82f5-e8c7-4bab-a652-3c9828407222;57Wh;"Intel Core Ultra 5 125H (14 lõi (4P + 8E + 2LPE) / 18 luồng, Max Turbo up to 4.5GHz, 18MB)";"Học tập - Văn phòng";"60 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__6_17.png;Lenovo;"Laptop Lenovo Ideapad Slim 5 14IMH9 83DA001NVN";"Windows 11 Home Single Language";21990000;16GB;"1920 x 1200 pixels (WUXGA)";"14 inches";46;"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hỗ trợ nâng cấp lên đến 1TB M.2 2242 SSD)";"Intel Arc Graphics";"FHD 1080p + IR với màn trập camera, Cảm biến ToF";"1.46 kg"
3eed8472-b89c-45e1-a8de-122696f06124;"37WHrs, 2S1P, 2-cell Li-ion";"Intel Celeron N4020";"Học tập - Văn phòng";"60 Hz";https://cellphones.com.vn/media/catalog/product/_/0/_0005_21675_laptop_asus_x515ma_br481w.jpg;ASUS;"Laptop ASUS X515MA-BR481W";"Windows 11 Home SL ";7600000;4GB;"1366 x 768 pixels";"15.6 inches";43;"256GB M.2 NVMe™ PCIe® 3.0 SSD<br>( Hỗ trợ 1 khe cắm STD 2.5” SATA HDD)";"Intel UHD Graphics 600";"VGA Webcam (480p Webcam)";"1.8 kg"
3f12fb5a-f00e-4bc6-a676-234da0b6ea42;"4-cell, 76WHrs";"AMD Ryzen 7-5800HS 2.8GHz up to 4.4GHz, 8 cores 16 threads";Gaming;"Mặc định";https://cellphones.com.vn/media/catalog/product/l/a/laptop-asus-rog-zephyrus-g14-ga401qh-hz035t-4.jpg;ASUS;"Laptop ASUS Gaming ROG Zephyrus G14 GA401QH-HZ035T ";"Windows 10 Home";28990000;8GB;"1920 x 1080 pixels (FullHD)";"14 inches";43;" 512GB SSD M.2 NVMe PCIe";"NVIDIA GeForce GTX 1650 4GB GDDR6";"Không tích hợp";"1.7 KG"
3f6aaf62-45bc-41dd-acb9-5ec9fc6b5fd4;"4 cell 65 Wh";"Intel Core i7-I7-14650HX series (14th Gen)";"Đồ họa - Kỹ thuật, Gaming";"240 Hz";https://cellphones.com.vn/media/catalog/product/l/a/laptop-msi-sword-16-hx-b14vfkg-045vn_1__4.png;MSI;"Laptop MSI Gaming Sword 16 HX B14VFKG-460VN";"Windows 11 Home";39990000;16GB;"2560x1600 pixel (QHD+)";"16 inches";46;"1TB SSD M.2 NVMe (2 x M.2 NVMe)";"NVIDIA GeForce RTX 4060 GPU 8GB GDDR6";"720 HD màn trập camera + 3D Noise Reduction";"2.3 kg"
4085d9fe-e8ec-4f00-ab9e-1ab970b88068;"4 Cell (70Wh)	";"Intel Core i5-1135G7 tốc độ 2.40GHz tối đa lên đến 4.20GHz, 8MB bộ nhớ đệm";"Cao cấp - Sang trọng";"Mặc định";https://cellphones.com.vn/media/catalog/product/z/e/zenbook-duo-14_ux482_product-photo_1b_celestial-blue_05_1.png;ASUS;"Laptop ASUS Zenbook Duo 14 UX482EG";"Windows 10 Home SL";33990000;8GB;"1920 x 1080 pixels (FullHD)";"14 inches";43;"512GB SSD PCIe (M.2 2280)";"NVIDIA GeForce MX450 2GB";"HD webcam,Camera IR";"1.61 kg"
40fc93b2-0ebc-4721-ace7-a673f348f574;"3 cell, 53.5Whr";"Intel Core i5 12450H (2 GHz - 4.4 GHz, 8 nhân - 12 luồng, 12MB Cache)";"Đồ họa - Kỹ thuật, Gaming";"144 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_16__6_26.png;MSI;"Laptop MSI Cyborg 15 A12UCX-618VN";"Windows 11 Home";19990000;16GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";46;"SSD 512GB NVMe PCIe";"NVIDIA GeForce RTX 2050 4 GB GDDR6";"HD Webcam (720p Webcam)";"1.95 kg"
412792f7-2a34-4e94-abc4-37072532df5a;"70Wh<br>65W USB-C (3-pin)";"Intel Core Ultra 7 258V, 8C (4P + 4LPE) / 8T, Max Turbo up to 4.8GHz, 12MB";"Học tập - Văn phòng, Đồ họa - Kỹ thuật, Cao cấp - Sang trọng, Laptop sáng tạo nội dung";"120 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_17__8_31.png;Lenovo;"Laptop Lenovo Yoga Slim 7 15ILL9 83HM000GVN ";"Windows 11 Home Single Language, English + Office Home & Student 2021";42990000;32GB;"2880 x 1800 pixels";"15.3 inches";46;"1TB SSD M.2 2242 PCIe 4.0x4 NVMe (1 ổ đĩa, tối đa 1TB)";"Intel Arc Graphics 140V";"FHD 1080p + IR với màn trập điện tử, cảm biến ToF";"1.53 kg"
41ab161a-e538-4dc8-91ac-f3479f7fe811;"4 Cell 82WHr";"Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB";"Mỏng nhẹ";"Mặc định";https://cellphones.com.vn/media/catalog/product/m/s/msi-prestige-15-a11scx-209vn-i7.jpg;MSI;"Laptop MSI Prestige 15 A11SCX-209VN";"Windows 10 Home SL";34990000;16GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";43;"512GB PCIe Gen4x4 (Còn trống 1 khe SSD M.2 PCIE Gen3x4)";"NVIDIA GeForce GTX 1650 4GB GDDR6 with Max-Q Design";"Mặc định";"1.69 kg"
4229e66a-0726-48a5-a873-bea4b7c4a498;"53.5 Whr, 3-Cell";"Core I5-12450H (12MB Cache, up to 4.4 GHz, 12 lõi / luồng)";"Đồ họa - Kỹ thuật, Gaming";144Hz;https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2023-04-26t175433.234_1_1.png;MSI;"Laptop MSI Cyborg 15 A12UCX-281VN";"Windows 11 Home";19990000;8GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";46;"512GB NVMe PCIe SSD Gen4x4";"NVIDIA GeForce RTX 2050 4GB";"HD type (30fps720p)";"1.95 kg"
43485a88-9804-4cba-8483-9919cb898dbc;47Wh;"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB";"Học tập - Văn phòng";"Mặc định";https://cellphones.com.vn/media/catalog/product/i/m/image_lenovo.png;Lenovo;"Laptop Lenovo ThinkPad E14 GEN 5 21JK00H5VN";"Windows 11 Home";22990000;16GB;"1920 x 1200 pixels (WUXGA)";"14 inches";46;"512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 ( nâng cấp tối đa 1TB)";"Intel UHD Graphics";"FHD 1080p + IR Hybrid với màn trập camera";"1.43 kg"
